PLAYER_NAME,TEAM_ABBREVIATION,POSITION,AGE,HEIGHT,WEIGHT,EXP,FGM,STL,PFD,AST
A.J. Lawson,TOR,G,24,"6'6""",179,2,80,13,38,31
AJ Green,MIL,G,25,"6'4""",190,2,182,37,50,108
AJ Johnson,WAS,G,20,"6'5""",160,R,82,12,27,76
Aaron Gordon,DEN,F,29,"6'8""",235,10,264,23,137,164
Aaron Holiday,HOU,G,28,"6'0""",185,6,117,19,49,83
Aaron Nesmith,IND,G-F,25,"6'6""",215,4,192,35,77,54
Aaron Wiggins,OKC,G,26,"6'5""",190,3,355,60,68,134
Adam Flagler,OKC,G,25,"6'3""",180,1,25,8,1,12
Adem Bona,PHI,F,22,"6'10""",235,R,135,26,90,27
Ajay Mitchell,OKC,G,22,"6'5""",190,R,91,25,55,64
Al Horford,BOS,C-F,38,"6'9""",240,17,195,36,35,128
Alec Burks,MIA,G,33,"6'5""",214,13,115,28,43,55
Alex Caruso,OKC,G,31,"6'5""",186,7,140,87,62,137
Alex Ducas,OKC,G,24,"6'7""",220,R,12,5,1,5
Alex Len,LAL,C,31,"7'0""",250,11,32,9,18,38
Alex Reese,PHI,F-C,25,"6'9""",245,R,26,10,10,4
Alex Sarr,WAS,C,19,"7'0""",205,R,326,44,123,161
Alperen Sengun,HOU,C,22,"6'11""",243,3,567,84,406,372
Amen Thompson,HOU,G-F,22,"6'7""",200,1,388,97,175,265
Amir Coffey,LAC,G-F,27,"6'7""",210,5,240,40,95,77
Andre Drummond,PHI,C,31,"6'11""",279,12,117,39,69,34
Andre Jackson Jr.,MIL,G,23,"6'6""",209,1,94,34,27,83
Andrew Nembhard,IND,G-F,25,"6'4""",191,2,247,79,130,326
Andrew Wiggins,MIA,F,30,"6'7""",197,10,376,60,174,158
Anfernee Simons,POR,G,25,"6'3""",200,6,479,60,140,337
Anthony Black,ORL,G,21,"6'7""",200,1,262,86,182,240
Anthony Davis,DAL,F-C,32,"6'10""",253,12,470,59,273,181
Anthony Edwards,MIN,G,23,"6'4""",225,4,721,91,343,359
Anthony Gill,WAS,F,32,"6'8""",230,4,43,9,37,16
Anton Watson,NYK,F,24,"6'8""",225,R,4,1,0,2
Antonio Reeves,NOP,G,22,"6'5""",205,R,113,21,22,39
Ariel Hukporti,NYK,C,23,"6'11""",246,R,21,1,13,11
Ausar Thompson,DET,G-F,22,"6'6""",205,1,246,98,130,134
Austin Reaves,LAL,G,26,"6'5""",197,3,477,81,321,421
Ayo Dosunmu,CHI,G,25,"6'5""",200,3,221,43,63,208
Bam Adebayo,MIA,C-F,27,"6'9""",255,7,540,98,309,337
Baylor Scheierman,BOS,G,24,"6'6""",205,R,39,17,18,33
Ben Sheppard,IND,G,23,"6'6""",190,1,120,38,35,85
Ben Simmons,LAC,G-F,28,"6'10""",240,6,116,38,58,285
