PLAYER_NAME,TEAM_ABBREVIATION,AGE,HEIGHT,WEIGHT,EXP,FGM,STL,PFD,AST
A.J. Lawson,TOR,24,"6'6""",179,2,74,12,32,29
AJ Green,MIL,25,"6'4""",190,2,176,36,48,101
AJ Johnson,WAS,20,"6'5""",160,R,73,10,26,67
Aaron Gordon,DEN,29,"6'8""",235,10,244,20,130,161
Aaron Holiday,HOU,28,"6'0""",185,6,111,19,45,77
Aaron Nesmith,IND,25,"6'6""",215,4,181,34,72,52
Aaron Wiggins,OKC,26,"6'5""",190,3,333,56,58,125
Adam Flagler,OKC,25,"6'3""",180,1,18,7,0,8
Adama Sanogo,CHI,23,,,,4,0,1,1
Adem Bona,PHI,22,"6'10""",235,R,121,24,82,26
Ajay Mitchell,OKC,22,"6'5""",190,R,84,24,50,57
Al Horford,BOS,38,"6'9""",240,17,190,35,35,128
Alec Burks,MIA,33,"6'5""",214,13,111,27,43,52
Alex Caruso,OKC,31,"6'5""",186,7,140,87,62,137
Alex Ducas,OKC,24,"6'7""",220,R,10,5,0,3
Alex Len,LAL,31,"7'0""",250,11,30,9,18,37
Alex Reese,PHI,25,"6'9""",245,R,26,10,10,4
Alex Sarr,WAS,19,"7'0""",205,R,320,43,121,154
Alondes Williams,DET,25,,,,2,0,0,1
Alperen Sengun,HOU,22,"6'11""",243,3,560,84,406,368
Amen Thompson,HOU,22,"6'7""",200,1,382,96,173,259
Amir Coffey,LAC,27,"6'7""",210,5,240,40,95,77
Andre Drummond,PHI,31,"6'11""",279,12,117,39,69,34
Andre Jackson Jr.,MIL,23,"6'6""",209,1,87,34,26,79
Andrew Nembhard,IND,25,"6'4""",191,2,245,77,128,315
Andrew Wiggins,MIA,30,"6'7""",197,10,372,58,172,155
Anfernee Simons,POR,25,"6'3""",200,6,479,60,140,337
Anthony Black,ORL,21,"6'7""",200,1,246,81,176,231
Anthony Davis,DAL,32,"6'10""",253,12,460,59,271,171
Anthony Edwards,MIN,23,"6'4""",225,4,689,86,329,346
Anthony Gill,WAS,32,"6'8""",230,4,43,9,37,16
Anton Watson,NYK,24,"6'8""",225,R,4,1,0,2
Antonio Reeves,NOP,22,"6'5""",205,R,93,17,13,32
Ariel Hukporti,NYK,22,"6'11""",246,R,21,1,13,11
Armel Traoré,LAL,22,,,,6,4,5,1
Ausar Thompson,DET,22,"6'6""",205,1,242,98,126,132
Austin Reaves,LAL,26,"6'5""",197,3,468,79,319,415
Ayo Dosunmu,CHI,25,"6'5""",200,3,221,43,63,208
Bam Adebayo,MIA,27,"6'9""",255,7,532,96,306,333
Baylor Scheierman,BOS,24,"6'6""",205,R,35,13,15,29
Ben Sheppard,IND,23,"6'6""",190,1,120,38,35,85
Ben Simmons,LAC,28,"6'10""",240,6,116,38,56,282
Bennedict Mathurin,IND,22,"6'5""",210,2,380,44,238,132
Bilal Coulibaly,WAS,20,"6'8""",195,1,263,78,143,199
Bismack Biyombo,SAS,32,"6'8""",255,13,63,15,28,30
Blake Wesley,SAS,22,"6'3""",185,2,76,35,51,106
Bobby Portis,MIL,30,"6'10""",250,9,265,33,69,103
Bobi Klintman,DET,22,"6'9""",225,R,0,0,1,1
Bogdan Bogdanović,LAC,32,"6'5""",225,7,207,40,72,144
Bol Bol,PHX,25,"7'3""",220,5,96,9,18,22
Bones Hyland,MIN,24,"6'2""",169,3,47,18,17,32
Bradley Beal,PHX,31,"6'4""",207,12,337,58,114,189
Branden Carlson,OKC,25,"7'0""",220,R,29,5,9,11
Brandin Podziemski,GSW,22,"6'4""",205,1,269,65,116,213
Brandon Boston,NOP,23,"6'6""",188,3,166,53,67,92
Brandon Clarke,MEM,28,"6'8""",215,5,236,52,79,66
Brandon Ingram,TOR,27,"6'8""",190,8,155,16,66,93
Brandon Miller,CHA,22,"6'7""",200,1,198,29,72,98
Brandon Williams,DAL,25,"6'1""",190,2,91,23,54,73
Braxton Key,GSW,28,"6'8""",225,3,0,2,1,0
Brice Sensabaugh,UTA,21,"6'5""",235,1,261,44,45,101
Bronny James,LAL,20,"6'3""",210,R,18,5,9,15
Brook Lopez,MIL,37,"7'1""",282,16,388,50,131,141
Bruce Brown,NOP,28,"6'4""",202,6,130,34,48,84
Bruno Fernando,TOR,26,,,,26,4,10,18
Bryce McGowens,POR,22,"6'6""",190,2,4,1,5,2
Bub Carrington,WAS,19,"6'4""",190,R,287,53,109,344
Buddy Hield,GSW,32,"6'4""",220,8,319,69,46,134
CJ McCollum,NOP,33,"6'3""",190,11,444,46,136,227
Cade Cunningham,DET,23,"6'6""",220,3,653,70,272,618
Caleb Houstan,ORL,22,"6'8""",205,2,71,17,16,30
Caleb Martin,DAL,29,"6'5""",205,5,123,43,79,92
Cam Christie,LAC,19,"6'6""",190,R,7,5,3,6
Cam Reddish,LAL,25,,,,38,33,23,22
Cam Spencer,MEM,25,"6'4""",205,R,26,6,13,27
Cam Thomas,BKN,23,"6'3""",210,3,199,15,115,94
Cam Whitmore,HOU,20,"6'7""",230,1,163,29,43,47
Cameron Johnson,BKN,29,"6'8""",210,5,355,53,170,194
Cameron Payne,NYK,30,"6'3""",183,9,170,36,56,194
Caris LeVert,ATL,30,"6'6""",205,8,267,55,104,206
Cason Wallace,OKC,21,"6'3""",195,1,232,120,42,173
Charles Bassey,SAS,24,"6'10""",230,3,68,14,26,17
Chet Holmgren,OKC,22,"7'1""",208,1,167,23,95,63
Chris Boucher,TOR,32,"6'9""",200,7,182,24,69,33
Chris Duarte,CHI,27,,,,12,0,6,9
Chris Livingston,MIL,21,"6'6""",220,1,7,5,7,2
Chris Paul,SAS,39,"6'0""",175,19,244,99,82,598
Christian Braun,DEN,23,"6'6""",220,2,467,84,140,194
Christian Koloko,LAL,24,"7'0""",225,1,38,7,19,16
Chuma Okeke,CLE,26,"6'7""",229,4,19,5,7,13
Clint Capela,ATL,30,"6'10""",256,10,218,34,89,62
Coby White,CHI,25,"6'5""",195,5,501,68,262,322
Cody Martin,PHX,29,"6'6""",205,5,135,55,61,103
Cody Williams,UTA,20,"6'7""",190,R,83,23,31,59
Colby Jones,WAS,22,"6'6""",207,1,49,25,29,35
Cole Anthony,ORL,24,"6'2""",185,4,226,44,104,184
Cole Swider,TOR,25,"6'8""",220,2,22,4,3,3
Colin Castleton,PHI,24,"6'10""",250,1,35,7,25,28
Collin Gillespie,PHX,25,"6'1""",195,1,60,18,22,73
Collin Sexton,UTA,26,"6'3""",190,6,416,47,219,264
Corey Kispert,WAS,26,"6'6""",224,3,255,26,60,103
Cory Joseph,ORL,33,"6'2""",200,13,61,25,37,67
Craig Porter Jr.,CLE,25,"6'1""",180,1,54,16,18,62
Cui Yongxi,BKN,21,,,,1,0,1,0
D'Angelo Russell,BKN,29,"6'3""",193,9,249,56,139,297
